Date,Bid,Offer
07/07/2018 11:43:49,1.51396097825559,0.882521797848177
08/07/2018 11:43:49,2.51806995529592,1.73267319180661
09/07/2018 11:43:49,3.51853232622078,2.74538968538185
10/07/2018 11:43:49,3.69837248730397,3.24736481357709
11/07/2018 11:43:49,5.2887908328738,4.80174916088663
12/07/2018 11:43:49,6.18434685803221,5.51430914295572
13/07/2018 11:43:49,7.75111027096916,6.85488472359948
14/07/2018 11:43:49,8.46821911654818,7.99008493218109
15/07/2018 11:43:49,9.23021093487284,8.70848433240712
16/07/2018 11:43:49,9.25366518797989,9.00918961689304
17/07/2018 11:43:49,11.3085577596484,10.8175861853257
18/07/2018 11:43:49,12.7334581374812,11.8947565005602
19/07/2018 11:43:49,13.1817499046129,12.7474287216307
20/07/2018 11:43:49,13.9060596553171,13.4601649956127
21/07/2018 11:43:49,15.656245780483,14.8931249905811
22/07/2018 11:43:49,16.0223295581631,15.3240072277021
23/07/2018 11:43:49,17.587371979648,16.5932337355768
24/07/2018 11:43:49,17.2869932247731,17.2100220002281
25/07/2018 11:43:49,18.8464787531861,18.0872570276667
26/07/2018 11:43:49,19.8769966959381,19.8082630880216
27/07/2018 11:43:49,20.8714214497578,20.3016710119795
28/07/2018 11:43:49,22.1333033242884,21.1899518874427
29/07/2018 11:43:49,22.4628870661663,22.1292440761483
30/07/2018 11:43:49,23.437904395367,23.0501061217161
31/07/2018 11:43:49,25.1423967788659,24.4980140810357
01/08/2018 11:43:49,26.4446231464132,25.5486582748353
02/08/2018 11:43:49,26.5107300707655,26.1493513594146
03/08/2018 11:43:49,27.8262490308034,27.434698807278
04/08/2018 11:43:49,29.6306542347328,28.7366826798472
05/08/2018 11:43:49,29.3490365442583,29.0379680418586
06/08/2018 11:43:49,31.1144477990989,30.3129776452263
07/08/2018 11:43:49,31.5965110541305,31.5578826831458
08/08/2018 11:43:49,32.9790212567798,32.1630344442851
09/08/2018 11:43:49,33.937550459028,33.0768039794996
10/08/2018 11:43:49,35.5993172547777,34.6862035471416
11/08/2018 11:43:49,36.3401397635882,35.3908771567004
12/08/2018 11:43:49,37.6539195234207,36.7134635144442
13/08/2018 11:43:49,38.1906403066547,37.9428045591073
14/08/2018 11:43:49,39.2524247505946,38.3010196868801
15/08/2018 11:43:49,40.1232432923854,39.7094575607728
16/08/2018 11:43:49,40.4565817832279,40.3842150612661
17/08/2018 11:43:49,42.1966228714197,41.9478805786687
18/08/2018 11:43:49,42.6425048711908,42.2144625150666
19/08/2018 11:43:49,43.7808259952724,43.5489709710465
20/08/2018 11:43:49,45.3779112134957,44.5594394367931
21/08/2018 11:43:49,45.5335740174789,45.3402885446978
22/08/2018 11:43:49,47.2184482692827,46.7212536836608
23/08/2018 11:43:49,48.2559568207972,47.7557559626902
24/08/2018 11:43:49,48.1631912710905,48.0118677546325
25/08/2018 11:43:49,50.0935742562141,49.7803169925606
